doc_id,cleaned_text,bertopic_topic,bertopic_probability
226867911,good location view apt beat view floor ceiling window provide panoramic view sydney skyline day night breathtaking wonderful view wake fall asleep building within cbd walking distance major attraction car necessary unless plan driving outside suburb apt clean cozy people occupy comfortably bad room improvement one set towel provided napkin papertowels provided clean sponge washing dish remote control tv broken clear instruction access main entrance building access level elevator discard garbage wall thin hear neighbor moving furniture talking opening closing door running water sound wind given high level apt loud apt managed company get response different people resolution hospitality seemed distant manage work around issue none impacted vacation management company represented still working many issue hopefully time arrive thing worked still great choice staying cbd,-1,0.0
235483985,,2,1.0
318562194,good location cosy place responsive helpful host great,-1,0.0
164347056,lovely central location cbd close restaurant bar theatre shop th floor still nice quiet spite central location osbert helpful great communication,0,1.0
342933331,really nice time jun house available go anywhere city tram host kind make comfortable return want,60,0.9702950715352289
164349326,great place want right heart city convenient transport food coffee shopping noisy morning city clean bright room light adjacent building night expected city bother excellent place,4,0.6250900079629556
23074931,lovely room beautiful house want leave eva best host friendly easy going recommended,-1,0.0
130154222,great great location,69,1.0
286247861,lovely place great communication,6,0.8007765096202756
239703105,great accommodation near local park tourist spot,-1,0.0
189153006,location great co slightly min drive cbd yet easy access city via tram centrally located suburb like box hill etc etc beach min walk away wish time chill reading room highlight house found place comfortable night simple comfortable home great location,0,1.0
224370465,kate nice friedly house people living mouse kitchen cleaning staff clean whole house hard working hour day fridge smelling good space thing put oven working rice cooker pan old dirty one trash people leave rubbish right beneath trash smelling bad check personal contact owner house right beneath big road lot transporter loud people friendly,14,0.7756547561218029
342916880,host canceled reservation day arrival automated posting,10,1.0
246141842,recommend spot southbank extremely easy deal host great location central,31,0.9627119515513448
315446197,recommend staying arthur extremely friendly could make comfortable enjoyable possible,40,0.5608134163176408
137852744,karena rob wonderful thoughtful host brick well appointed expect busier road expected issue traffic noise bed really comfortable short walk great cafe restaurant thanks karena rob hosting short notice,-1,0.0
137509421,great space location immaculately clean comfortable bed unfortunately wall thin sound travel house next door meant woken every morning school run dog walk coupled check left tired take note planning lie,-1,0.0
165462649,great place great value,11,1.0
286258652,great location,41,0.8774347394156583
67247784,stayed one night attend wedding avalon castle leanne family helpful accommodating beautiful property loved stayed longer explore area,-1,0.0
146437622,yang amazingly helpful place perfect weekend covered great location made enjoyable effortless,95,0.9974374999527126
46649322,tania richard lovely perfect welcome familiar studio garden left device could enjoy night away without interruption listing exactly real life picture description real beautiful bird gorgeous hot tub pool modern facility went st andrew market healesville sanctuary heading back within hour drive pretty great took food cook comment offering local pub tania richard catering business sure food lovely taken option x,-1,0.0
329017319,lovely warburton house perfect family view balcony beautiful thanks tracy,32,0.6673867735593118
237968780,recommended ian kindly provided snack lactose free milk beer almost every thing need accommodation please choose clean comfortable private cabin want good time,-1,0.0
116249218,loved stayed night anna family lovely felt welcome included part household great location quiet well presented thanks anna,50,0.9434745830385524
288020465,best time awesome olinda camper van needed super toasty even freezing winter perfectly serene location,-1,0.0
229827328,,2,0.9405484554328184
